#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JAJNSX010000016.1 -         Sodium               RF03071    cm        1       55    41334    41286      -    no    1 0.39   0.0   48.1   1.3e-06 !   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf16, whole genome shotgun sequence
NZ_AEHP01000015.1    -         Sodium               RF03071    cm        1       55    12664    12712      +    no    1 0.37   0.0   44.7   9.7e-06 !   Lactobacillus iners LactinV 03V1-b contig00014, whole genome shotgun sequence
NZ_PHLE01000001.1    -         Sodium               RF03071    cm        1       55  1457585  1457632      +    no    1 0.48   0.0   44.7   9.7e-06 !   Enterococcus faecalis strain 16-196 16-196_scaffold_1_, whole genome shotgun sequence
NZ_PHLE01000001.1    -         Sodium               RF03071    cm        1       55   308551   308601      +    no    1 0.47   0.0   35.1    0.0027 !   Enterococcus faecalis strain 16-196 16-196_scaffold_1_, whole genome shotgun sequence
NZ_JAAVSD010000034.1 -         Sodium               RF03071    cm        1       55     5523     5475      -    no    1 0.49   0.0   30.9     0.034 ?   Levilactobacillus tujiorum strain HBUAS51329 Scaffold34, whole genome shotgun sequence
NZ_JAJTVG010000013.1 -         Sodium               RF03071    cm        1       55    39306    39349      +    no    1 0.50   0.0   27.8      0.21 ?   Lactiplantibacillus plantarum strain IMI 507027 contig_13, whole genome shotgun sequence
NZ_SRKT01000003.1    -         Sodium               RF03071    cm        1       55  1192657  1192702      +    no    1 0.30   0.0   25.5      0.79 ?   Flavobacterium columnare strain 1723 contig3, whole genome shotgun sequence
NZ_JAJTVG010000009.1 -         Sodium               RF03071    cm        1       55    18090    18043      -    no    1 0.48   0.0   25.2      0.95 ?   Lactiplantibacillus plantarum strain IMI 507027 contig_9, whole genome shotgun sequence
NZ_JACFAY010000001.1 -         Sodium               RF03071    cm        1       55   525976   526029      +    no    1 0.35   0.0   23.6       2.4 ?   Borreliella garinii subsp. bavariensis strain PBar PBar_chr_to_PBi_insert, whole genome shotgun sequence
NZ_JACFAX010000001.1 -         Sodium               RF03071    cm        1       55   523312   523365      +    no    1 0.35   0.0   23.6       2.4 ?   Borreliella garinii subsp. bavariensis strain PBN PBN_chr_to_PBi_insert, whole genome shotgun sequence
NZ_ACJD01000006.1    -         Sodium               RF03071    cm        1       55   504058   504100      +    no    1 0.60   0.0   23.4       2.7 ?   Brucella ceti str. Cudo chromosome II VBI00082_1, whole genome shotgun sequence
