#target_name         target_accession query_name    query_accession mdl mdl_from mdl_to seq_from seq_to  strand trunc pass_ gc   bias score E_value inc description_of_target                                                                                                                               
JAAYCJ010000321.1    -                lina-combo-v1 -               cm  1        56     2831     2779    -      no    1     0.75 0.1  55.3  0.00021 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence                                                         
NZ_JACHOS010000005.1 -                lina-combo-v1 -               cm  1        56     205852   205908  +      no    1     0.75 0.2  54.8  0.00028 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence                                                               
JADGCU010000107.1    -                lina-combo-v1 -               cm  1        56     1015     1067    +      no    1     0.6  0.0  54.7  0.00029 !   Candidatus Omnitrophica bacterium isolate nXXbin4 nXX_bin4_NODE_4145_length_3598_cov_3.739486, whole genome shotgun sequence                        
JACROO010000119.1    -                lina-combo-v1 -               cm  1        56     29454    29510   +      no    1     0.51 0.0  54.5  0.00033 !   Nitrospirae bacterium isolate NC_groundwater_1963_Pr3_S-0.2um_42_3 scaffold_471340, whole genome shotgun sequence                                   
NZ_JTDN01000001.1    -                lina-combo-v1 -               cm  1        56     2084804  2084864 +      no    1     0.67 0.0  54.3  0.00035 !   Croceibacterium mercuriale strain Coronado scaffold_0, whole genome shotgun sequence                                                                
JAHIKK010000002.1    -                lina-combo-v1 -               cm  1        56     5242     5296    +      no    1     0.47 0.0  54.0  0.00042 !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence                                 
JAHIKK010000002.1    -                lina-combo-v1 -               cm  1        56     701      755     +      no    1     0.51 0.0  53.7  0.00049 !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence                                 
JAAYVD010000123.1    -                lina-combo-v1 -               cm  1        56     97223    97172   -      no    1     0.6  0.0  53.7  0.0005  !   Candidatus Riflebacteria bacterium isolate AS27yjCOA_28 122737_AS27, whole genome shotgun sequence                                                  
NZ_SLZF01000016.1    -                lina-combo-v1 -               cm  1        56     149435   149380  -      no    1     0.71 0.0  53.6  0.00051 !   Bosea sp. BK604 Ga0307684_116, whole genome shotgun sequence                                                                                        
NZ_JACHZX010000001.1 -                lina-combo-v1 -               cm  1        56     978422   978477  +      no    1     0.79 1.3  53.0  0.00072 !   Sphingomonas sp. BK345 Ga0365278_01, whole genome shotgun sequence                                                                                  
NZ_FONX01000003.1    -                lina-combo-v1 -               cm  1        56     62395    62446   +      no    1     0.77 0.1  53.0  0.00073 !   Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence                                                                                
JAHJUB010000057.1    -                lina-combo-v1 -               cm  1        56     14118    14173   +      no    1     0.46 0.0  52.9  0.00076 !   MAG: Candidatus Omnitrophica bacterium isolate OS_PC_MetaG.mb.78 OS_PC_MetaG.mb.78_k141_258422, whole genome shotgun sequence                       
MHHC01000017.1       -                lina-combo-v1 -               cm  1        56     6813     6868    +      no    1     0.46 0.0  52.4  0.00095 !   Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24 rifcsplowo2_12_scaffold_18460, whole genome shotgun sequence                                 
JAEUHQ010000016.1    -                lina-combo-v1 -               cm  1        56     17717    17665   -      no    1     0.75 0.1  52.4  0.00096 !   Planctomycetes bacterium isolate new MAG-21 k141_3215046, whole genome shotgun sequence                                                             
MWBI01000120.1       -                lina-combo-v1 -               cm  1        56     2709     2658    -      no    1     0.65 0.0  52.2  0.0011  !   Candidatus Omnitrophica bacterium ADurb.Bin314 BWY49_contig000120, whole genome shotgun sequence                                                    
JACQBB010000342.1    -                lina-combo-v1 -               cm  1        56     1635     1686    +      no    1     0.71 0.0  51.5  0.0015  !   Elusimicrobia bacterium isolate NC_groundwater_931_Pr1_S-0.2um_71_17 Montesol18-Sp2_coassembly_scaffold_956606, whole genome shotgun sequence       
WRPG01000014.1       -                lina-combo-v1 -               cm  1        56     73467    73518   +      no    1     0.65 0.0  51.5  0.0016  !   Verrucomicrobia subdivision 3 bacterium isolate X3_MaxBin.016 scaffold_201, whole genome shotgun sequence                                           
CAIXGW010000036.1    -                lina-combo-v1 -               cm  1        56     2257     2209    -      no    1     0.73 0.0  51.3  0.0017  !   uncultured Myxococcales bacterium isolate ErkenSummer_bin-0937 genome assembly, contig: bin-0937:036/404, whole genome shotgun sequence             
NC_009937.1          -                lina-combo-v1 -               cm  1        56     1486639  1486584 -      no    1     0.7  0.0  51.3  0.0017  !   Azorhizobium caulinodans ORS 571, complete sequence                                                                                                 
