#target_name         target_accession query_name query_accession mdl mdl_from mdl_to seq_from seq_to  strand trunc pass_ gc   bias score E_value inc description_of_target                                                                                                                               
JAAYCJ010000321.1    -                nhaA-I     RF03057         cm  1        55     2831     2779    -      no    1     0.75 0.1  62.7  4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence                                                         
NZ_JACHZX010000001.1 -                nhaA-I     RF03057         cm  1        55     978422   978477  +      no    1     0.79 1.3  59.3  3e-06   !   Sphingomonas sp. BK345 Ga0365278_01, whole genome shotgun sequence                                                                                  
CAIUPP010000023.1    -                nhaA-I     RF03057         cm  1        55     192046   192099  +      no    1     0.65 0.0  59.2  3.2e-06 !   uncultured planctomycete isolate AM-2014_bin-0320 genome assembly, contig: bin-0320:023/154, whole genome shotgun sequence                          
NZ_JAGL01000002.1    -                nhaA-I     RF03057         cm  1        55     232447   232393  -      no    1     0.71 0.0  58.9  3.7e-06 !   Aminobacter sp. J41 AmiJ41DRAFT_scaffold_1.2_C, whole genome shotgun sequence                                                                       
NZ_JACHOS010000005.1 -                nhaA-I     RF03057         cm  1        55     205852   205908  +      no    1     0.75 0.2  58.5  4.7e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence                                                               
NZ_SLZF01000016.1    -                nhaA-I     RF03057         cm  1        55     149435   149380  -      no    1     0.71 0.0  58.0  6.3e-06 !   Bosea sp. BK604 Ga0307684_116, whole genome shotgun sequence                                                                                        
NZ_JTDN01000001.1    -                nhaA-I     RF03057         cm  1        55     2084804  2084864 +      no    1     0.67 0.0  57.9  6.5e-06 !   Croceibacterium mercuriale strain Coronado scaffold_0, whole genome shotgun sequence                                                                
CAIXGW010000036.1    -                nhaA-I     RF03057         cm  1        55     2257     2209    -      no    1     0.73 0.0  57.9  6.6e-06 !   uncultured Myxococcales bacterium isolate ErkenSummer_bin-0937 genome assembly, contig: bin-0937:036/404, whole genome shotgun sequence             
DSXD01000001.1       -                nhaA-I     RF03057         cm  1        55     48004    48059   +      no    1     0.71 0.0  57.6  7.6e-06 !   TPA_asm: Acidobacteria bacterium isolate SpSt-543 Ga0101944_10000333, whole genome shotgun sequence                                                 
JAEUKJ010000737.1    -                nhaA-I     RF03057         cm  1        55     139      90      -      no    1     0.68 0.0  57.6  7.6e-06 !   Deltaproteobacteria bacterium isolate new MAG-92 k141_139726, whole genome shotgun sequence                                                         
NZ_WVTD01000008.1    -                nhaA-I     RF03057         cm  1        55     157649   157596  -      no    1     0.69 0.0  57.6  7.8e-06 !   Novosphingobium sp. FGD1 NODE_8_length_190061_cov_34.815699, whole genome shotgun sequence                                                          
NZ_FONX01000003.1    -                nhaA-I     RF03057         cm  1        55     62395    62446   +      no    1     0.77 0.1  57.5  8.1e-06 !   Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence                                                                                
NZ_JAAIYO010000017.1 -                nhaA-I     RF03057         cm  1        55     9915     9867    -      no    1     0.71 0.0  57.5  8.3e-06 !   Corallococcus sp. ZKHCc1 1396 Cce1ZK_17, whole genome shotgun sequence                                                                              
NZ_JACYFT010000002.1 -                nhaA-I     RF03057         cm  1        55     872042   872094  +      no    1     0.68 0.0  57.4  8.5e-06 !   Limnohabitans sp. JUR4 contig2, whole genome shotgun sequence                                                                                       
NZ_RAWG01000051.1    -                nhaA-I     RF03057         cm  1        55     9410     9353    -      no    1     0.72 0.0  57.3  9.1e-06 !   Corallococcus sicarius strain CA040B NODE_51_42284_cov_45.8614, whole genome shotgun sequence                                                       
NZ_SLXN01000007.1    -                nhaA-I     RF03057         cm  1        55     170392   170444  +      no    1     0.68 0.0  57.3  9.1e-06 !   Sphingomonas sp. BK235 Ga0307674_107, whole genome shotgun sequence                                                                                 
JADJJE010000019.1    -                nhaA-I     RF03057         cm  1        55     67339    67391   +      no    1     0.75 0.3  57.1  1e-05   !   Sandaracinaceae bacterium isolate Ejby_18-Q3-R6-50_BATAC.260 tig00005964-10-1856300, whole genome shotgun sequence                                  
JAHIKK010000002.1    -                nhaA-I     RF03057         cm  1        55     701      755     +      no    1     0.51 0.0  57.1  1e-05   !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence                                 
