#target_name         target_accession query_name               query_accession mdl mdl_from mdl_to seq_from seq_to  strand trunc pass_ gc   bias score E_value inc description_of_target                                                                                                                               
JAAYCJ010000321.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     2828     2780    -      no    1     0.73 0.0  56.2  3e-07   !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence                                                         
NZ_JADMXW010000013.1 -                DUF1646_nhaA-I.fna.motif -               cm  1        49     37232    37181   -      no    1     0.63 0.0  54.3  1.1e-06 !   Serratia marcescens strain 1001295B_180824_A7 NODE_13_length_164433_cov_23.8572, whole genome shotgun sequence                                      
JAAYLN010000317.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     3037     3087    +      no    1     0.63 0.0  53.9  1.4e-06 !   Lentisphaerae bacterium isolate AS15tlH2ME_36 108881_AS15, whole genome shotgun sequence                                                            
NZ_CP035951.1        -                DUF1646_nhaA-I.fna.motif -               cm  1        49     2475061  2475011 -      no    1     0.75 0.0  53.5  1.8e-06 !   Acidovorax sp. JMULE5 chromosome                                                                                                                    
PHBN01000183.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     2695     2646    -      no    1     0.48 0.0  53.4  1.9e-06 !   Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1 yuki_s1_sub10_scaffold_1071, whole genome shotgun sequence                                  
DISH01000004.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     55379    55427   +      no    1     0.63 0.0  52.7  2.9e-06 !   TPA_asm: Candidatus Omnitrophica bacterium UBA6215 UBA6215_contig_59, whole genome shotgun sequence                                                 
JACPUE010000017.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     25822    25872   +      no    1     0.73 0.0  52.7  2.9e-06 !   Burkholderiales bacterium isolate NC_groundwater_750_Ag_S-0.1um_66_20 JBCH_GD18_4_SO1_S176_scaffold_225521, whole genome shotgun sequence           
PGXT01000229.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     1627     1577    -      no    1     0.49 0.0  52.5  3.3e-06 !   Spirochaetae bacterium HGW-Spirochaetae-5 bjp_ig2069_scaffold_14532, whole genome shotgun sequence                                                  
NC_018708.1          -                DUF1646_nhaA-I.fna.motif -               cm  1        49     4210754  4210704 -      no    1     0.76 0.2  52.3  3.8e-06 !   Acidovorax sp. KKS102, complete sequence                                                                                                            
NZ_JQKD01000012.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     107060   107008  -      no    1     0.74 0.0  52.1  4.3e-06 !   Xenophilus azovorans DSM 13620 Q392DRAFT_scaffold00010.10_C, whole genome shotgun sequence                                                          
NZ_FKIF01000006.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     494      545     +      no    1     0.67 0.0  51.6  6.1e-06 !   Bordetella ansorpii strain H050680373, whole genome shotgun sequence                                                                                
NZ_JADKYZ010000002.1 -                DUF1646_nhaA-I.fna.motif -               cm  1        49     360004   359952  -      no    1     0.66 0.0  51.2  7.6e-06 !   Diaphorobacter sp. NR2-3-3-1 contig2, whole genome shotgun sequence                                                                                 
NZ_CP015118.1        -                DUF1646_nhaA-I.fna.motif -               cm  1        49     4661911  4661859 -      no    1     0.68 0.0  51.1  8.3e-06 !   Rhizobacter gummiphilus strain NS21 chromosome, complete genome                                                                                     
DSXD01000001.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     48007    48058   +      no    1     0.69 0.0  51.1  8.5e-06 !   TPA_asm: Acidobacteria bacterium isolate SpSt-543 Ga0101944_10000333, whole genome shotgun sequence                                                 
VGYW01000483.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     5557     5507    -      no    1     0.69 0.0  50.9  9.3e-06 !   Planctomycetes bacterium isolate M_DeepCast_400m_m2_341 M_DeepCast_400m_m2_341_Ga0194112_10028577, whole genome shotgun sequence                    
NZ_QJJJ01000008.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     41448    41500   +      no    1     0.7  0.0  50.9  9.5e-06 !   Methylobacterium sp. B4 Ga0157232_108, whole genome shotgun sequence                                                                                
QZKH01000003.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     515814   515769  -      no    1     0.48 0.0  50.8  9.8e-06 !   Candidatus Omnitrophica bacterium isolate SURF_18 Ga0104751_1000002, whole genome shotgun sequence                                                  
NZ_JAFCKW010000002.1 -                DUF1646_nhaA-I.fna.motif -               cm  1        49     152815   152864  +      no    1     0.68 0.0  50.8  1e-05   !   Bradyrhizobium diazoefficiens strain SZCCT0138 NODE_2, whole genome shotgun sequence                                                                
NZ_NEVT01000006.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     296138   296086  -      no    1     0.7  0.0  50.8  1e-05   !   Bordetella genomosp. 2 strain AU8256 NODE_29_length_1664_cov_29.9571_ID_57, whole genome shotgun sequence                                           
JACRJX010000015.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     418301   418254  -      no    1     0.62 0.0  50.8  1e-05   !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence                     
NZ_NEVL01000003.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     1591888  1591835 -      no    1     0.65 0.0  50.7  1.1e-05 !   Bordetella genomosp. 1 strain AU17610 NODE_5_length_449437_cov_23.4316_ID_9, whole genome shotgun sequence                                          
NZ_JACHOS010000005.1 -                DUF1646_nhaA-I.fna.motif -               cm  1        49     205855   205907  +      no    1     0.74 0.0  50.7  1.1e-05 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence                                                               
NZ_WJIE01000003.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     839617   839661  +      no    1     0.69 0.0  50.6  1.1e-05 !   Polyangium spumosum strain DSM 14734 Scaffold3, whole genome shotgun sequence                                                                       
RGQD01000465.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     2171     2122    -      no    1     0.64 0.0  50.6  1.1e-05 !   Betaproteobacteria bacterium isolate WB8_3_330 contig_100_464, whole genome shotgun sequence                                                        
NC_017075.1          -                DUF1646_nhaA-I.fna.motif -               cm  1        49     1809731  1809683 -      no    1     0.8  0.3  50.5  1.2e-05 !   Rubrivivax gelatinosus IL144, complete sequence                                                                                                     
NC_009937.1          -                DUF1646_nhaA-I.fna.motif -               cm  1        49     1486636  1486585 -      no    1     0.67 0.0  50.5  1.2e-05 !   Azorhizobium caulinodans ORS 571, complete sequence                                                                                                 
NZ_CP011971.1        -                DUF1646_nhaA-I.fna.motif -               cm  1        49     1818491  1818439 -      no    1     0.62 0.0  50.5  1.2e-05 !   Steroidobacter denitrificans strain DSM 18526 chromosome, complete genome                                                                           
NZ_LMIJ01000008.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     206449   206499  +      no    1     0.67 0.0  50.4  1.3e-05 !   Acidovorax sp. Root219 contig_16, whole genome shotgun sequence                                                                                     
NZ_RKMB01000002.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     191616   191663  +      no    1     0.73 0.0  50.4  1.3e-05 !   Ramlibacter sp. WS9 NODE_2_length_612727_cov_37.2678_ID_3073, whole genome shotgun sequence                                                         
DUPH01000338.1       -                DUF1646_nhaA-I.fna.motif -               cm  1        49     12311    12362   +      no    1     0.67 0.0  50.3  1.4e-05 !   TPA_asm: Lentisphaerae bacterium isolate AS08sgBPME_287 244745_AS08, whole genome shotgun sequence                                                  
JAAZOZ010000250.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     3104     3056    -      no    1     0.49 0.0  50.2  1.5e-05 !   Smithella sp. isolate AS4AglBPMA_11 14973_AS4A, whole genome shotgun sequence                                                                       
NZ_RAWG01000051.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     9407     9354    -      no    1     0.7  0.0  50.2  1.5e-05 !   Corallococcus sicarius strain CA040B NODE_51_42284_cov_45.8614, whole genome shotgun sequence                                                       
NZ_JACCEM010000002.1 -                DUF1646_nhaA-I.fna.motif -               cm  1        49     93737    93789   +      no    1     0.68 0.0  50.1  1.6e-05 !   Parapusillimonas granuli strain LMG 24012 NODE_2_length_578101_cov_73.382813, whole genome shotgun sequence                                         
NZ_FONX01000003.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     62398    62446   +      no    1     0.76 0.0  50.0  1.7e-05 !   Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence                                                                                
NZ_SGWZ01000001.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     558116   558168  +      no    1     0.66 0.0  49.9  1.7e-05 !   Kerstersia gyiorum strain DSM 16618 Ga0310503_11, whole genome shotgun sequence                                                                     
JAGNHB010000037.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     44009    43960   -      no    1     0.76 0.0  49.9  1.8e-05 !   Acidobacteria bacterium isolate Go_SlDig_bin_149 Go_SlDig_1374_length_56602_cov_22.848057, whole genome shotgun sequence                            
JACRJX010000015.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     417307   417260  -      no    1     0.65 0.0  49.9  1.8e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence                     
NZ_VJWE01000015.1    -                DUF1646_nhaA-I.fna.motif -               cm  1        49     245342   245392  +      no    1     0.75 0.1  49.8  1.9e-05 !   Acidovorax delafieldii strain DSM 64 Ga0064100_105, whole genome shotgun sequence                                                                   
